380
90
32
2;0;0.776471,0.576471,0.0156863,;1;Carpet;-10,-11,;-10,-6,;10,-6,;10,-11,;
4;0;0.2,0.392157,0.619608,;1;Wallpaper;-10,-6,;-10,14,;10,14,;10,-6,;
1;0;0.976471,0.85098,0.815686,;1;Strongbad;0,0,;0,3,;3,3,;3,0,;
3;1;0,0,0,;1;Pants;0,0,;0,1.5,;3,1.5,;3,0,;
5;1;0.854902,0,0,;1;Head;-0.5,8,;-0.5,7,;0.5,4,;2.5,4,;3.5,7,;3.5,8,;2.5,9,;0.5,9,;
6;5;0.972549,0.854902,0.843137,;1;Neck;1,3,;1,4,;2,4,;2,3,;
13;5;0.992157,0.843137,0.811765,;1;Mouth;0.5,5.5,;0.5,6.5,;2.5,6.5,;2.5,5.5,;
7;5;0.137255,0.141176,0.145098,;1;Mask;0,6.5,;0,7.5,;3,7.5,;3,6.5,;
8;7;0.137255,0.141176,0.145098,;1;Mask Left;0,6,;1,7,;0,8,;
9;7;0.137255,0.141176,0.145098,;1;Mask Right;2,7,;3,6,;3,8,;
11;7;0.0666667,0.713726,0.152941,;1;Left Eye;0,6.5,;0,7.5,;1,7.5,;1,6.5,;
12;7;0.0666667,0.713726,0.152941,;1;Right Eye;1.5,6.5,;1.5,7.5,;2.5,7.5,;2.5,6.5,;
10;7;0.4,0.776471,0.972549,;1;Blue Triangle;1,7,;1,8,;2,8,;
14;1;0.968627,0.854902,0.85098,;1;Left Arm;-2,2,;-2,3,;0,3,;0,2,;
15;14;0.854902,0,0,;1;Left Glove;-3.5,1.5,;-3.5,3.5,;-1.5,3.5,;-1.5,1.5,;
19;15;0,0,0,;3;Left Thumb;-2.5,3.5,;-2.5,2.5,;-1.5,2.5,;
16;1;0.968627,0.854902,0.85098,;1;Right Arm;3,2,;3,3,;5,3,;5,2,;
17;16;0.854902,0,0,;1;Right Glove;4.5,1.5,;4.5,3.5,;6.5,3.5,;6.5,1.5,;
20;17;0,0,0,;3;Right Thumb;4.5,2.5,;5.5,2.5,;5.5,3.5,;
21;1;0,0,0,;1;Left Leg;0,-2.5,;0,-0.5,;1,-0.5,;1,-2.5,;
24;21;0.854902,0,0,;1;Left Shoe;0.5,-2.5,;0.5,-1.5,;2.5,-1.5,;2.5,-2.5,;
22;1;0,0,0,;1;Right Leg;2,-2.5,;2,-0.5,;3,-0.5,;3,-2.5,;
25;22;0.854902,0,0,;1;Right Shoe;1.5,-2.5,;1.5,-1.5,;3.5,-1.5,;3.5,-2.5,;
26;0;1,0.8,0,;1;Da Cheat;-9,-8,;-9,-3,;-4,-3,;-4,-8,;
27;26;0,0,0,;1;Left Eye;-7.5,-4.5,;-7.5,-3.5,;-6.5,-3.5,;-6.5,-4.5,;
28;26;0,0,0,;1;Right Eye;-5.5,-4.5,;-5.5,-3.5,;-4.5,-3.5,;-4.5,-4.5,;
29;26;1,0.8,0,;1;Snout;-4,-3,;-3,-3,;-4,-4,;
30;26;1,0.8,0,;1;Left Arm;0,1,;2,1,;2,0,;
31;30;0,0,0,;3;Left Outline;2,1,;0,1,;2,0,;
32;26;1,0.8,0,;1;Right Arm;-4.5,-5,;-2.5,-5,;-4.5,-6,;
Transforms
1;10;1,0,0,;0,1,0,;0,0,1,;-0.70848,-0.705731,0,;0.705731,-0.70848,0,;0,0,1,;1,0,0,;0,1,0,;0,0,1,;-1,-1,-1,;
1;13;1,0,0,;0,1,2,;0,0,1,;1,0,0,;0,1,0,;0,0,1,;0.9,0,0,;0,0.478297,0,;0,0,1,;-1,-1,-1,;
1;15;1,0,0,;0,1,0,;0,0,1,;1,0,0,;0,1,0,;0,0,1,;1,0,0,;0,1,0,;0,0,1,;-1,-1,-1,;
1;24;1,0,-1,;0,1,-0.5,;0,0,1,;1,0,0,;0,1,0,;0,0,1,;0.9,0,0,;0,1,0,;0,0,1,;-1,-1,-1,;
1;25;1,0,0,;0,1,-0.5,;0,0,1,;1,0,0,;0,1,0,;0,0,1,;0.9,0,0,;0,1,0,;0,0,1,;-1,-1,-1,;
1;5;1,0,-0.5,;0,1,-1,;0,0,1,;1,0,0,;0,1,0,;0,0,1,;1.21,0,0,;0,1.1,0,;0,0,1,;-1,-1,-1,;
1;14;1,0,0.5,;0,1,-0.5,;0,0,1,;0.73554,-0.677481,0,;0.677481,0.73554,0,;0,0,1,;1,0,0,;0,1,0,;0,0,1,;-1,-1,-1,;
1;16;1,0,-0.5,;0,1,-0.5,;0,0,1,;0.767495,0.641055,0,;-0.641055,0.767495,0,;0,0,1,;1,0,0,;0,1,0,;0,0,1,;-1,-1,-1,;
1;21;1,0,0,;0,1,1,;0,0,1,;1,0,0,;0,1,0,;0,0,1,;1,0,0,;0,1,0,;0,0,1,;-1,-1,-1,;
1;22;1,0,0,;0,1,1,;0,0,1,;1,0,0,;0,1,0,;0,0,1,;1,0,0,;0,1,0,;0,0,1,;-1,-1,-1,;
1;27;1,0,-0.5,;0,1,0,;0,0,1,;1,0,0,;0,1,0,;0,0,1,;0.81,0,0,;0,1,0,;0,0,1,;-1,-1,-1,;
1;28;1,0,-1,;0,1,0,;0,0,1,;1,0,0,;0,1,0,;0,0,1,;0.81,0,0,;0,1,0,;0,0,1,;-1,-1,-1,;
1;30;1,0,-10.5,;0,1,-6,;0,0,1,;1,0,0,;0,1,0,;0,0,1,;1,0,0,;0,1,0,;0,0,1,;-1,-1,-1,;
1;1;1,0,3.5,;0,1,-6,;0,0,1,;1,0,0,;0,1,0,;0,0,1,;1,0,0,;0,1,0,;0,0,1,;-1,-1,-1,;
1;26;1,0,-7.5,;0,1,0,;0,0,1,;1,0,0,;0,1,0,;0,0,1,;1,0,0,;0,1,0,;0,0,1,;-1,-1,-1,;
1;32;1,0,0,;0,1,0,;0,0,1,;1,0,0,;0,1,0,;0,0,1,;1,0,0,;0,1,0,;0,0,1,;-1,-1,-1,;
60;10;1,0,0,;0,1,0,;0,0,1,;-0.70848,-0.705731,0,;0.705731,-0.70848,0,;0,0,1,;1,0,0,;0,1,0,;0,0,1,;-1,-1,-1,;
60;13;1,0,0,;0,1,0,;0,0,1,;1,0,0,;0,1,0,;0,0,1,;0.9,0,0,;0,0.847332,0,;0,0,1,;-1,-1,-1,;
60;15;1,0,0,;0,1,0,;0,0,1,;1,0,0,;0,1,0,;0,0,1,;1,0,0,;0,1,0,;0,0,1,;-1,-1,-1,;
60;24;1,0,-1,;0,1,-0.5,;0,0,1,;1,0,0,;0,1,0,;0,0,1,;0.9,0,0,;0,1,0,;0,0,1,;-1,-1,-1,;
60;25;1,0,0,;0,1,-0.5,;0,0,1,;1,0,0,;0,1,0,;0,0,1,;0.9,0,0,;0,1,0,;0,0,1,;-1,-1,-1,;
60;5;1,0,-0.5,;0,1,-1,;0,0,1,;1,0,0,;0,1,0,;0,0,1,;1.21,0,0,;0,1.1,0,;0,0,1,;-1,-1,-1,;
60;14;1,0,0.5,;0,1,0.5,;0,0,1,;0.814336,0.580394,0,;-0.580394,0.814336,0,;0,0,1,;1,0,0,;0,1,0,;0,0,1,;-1,-1,-1,;
60;16;1,0,-0.5,;0,1,-0.5,;0,0,1,;0.952405,0.304834,0,;-0.304834,0.952405,0,;0,0,1,;1,0,0,;0,1,0,;0,0,1,;-1,-1,-1,;
60;21;1,0,0,;0,1,1,;0,0,1,;1,0,0,;0,1,0,;0,0,1,;1,0,0,;0,1,0,;0,0,1,;-1,-1,-1,;
60;22;1,0,0,;0,1,1,;0,0,1,;1,0,0,;0,1,0,;0,0,1,;1,0,0,;0,1,0,;0,0,1,;-1,-1,-1,;
60;27;1,0,-0.5,;0,1,0,;0,0,1,;1,0,0,;0,1,0,;0,0,1,;0.81,0,0,;0,1,0,;0,0,1,;-1,-1,-1,;
60;28;1,0,-1,;0,1,0,;0,0,1,;1,0,0,;0,1,0,;0,0,1,;0.81,0,0,;0,1,0,;0,0,1,;-1,-1,-1,;
60;30;1,0,-10.5,;0,1,-6,;0,0,1,;1,0,0,;0,1,0,;0,0,1,;1,0,0,;0,1,0,;0,0,1,;-1,-1,-1,;
60;1;1,0,3.5,;0,1,-6,;0,0,1,;1,0,0,;0,1,0,;0,0,1,;1,0,0,;0,1,0,;0,0,1,;-1,-1,-1,;
60;26;1,0,-7.5,;0,1,0,;0,0,1,;1,0,0,;0,1,0,;0,0,1,;1,0,0,;0,1,0,;0,0,1,;-1,-1,-1,;
60;32;1,0,0,;0,1,0,;0,0,1,;1,0,0,;0,1,0,;0,0,1,;1,0,0,;0,1,0,;0,0,1,;-1,-1,-1,;
120;10;1,0,0,;0,1,0,;0,0,1,;-0.70848,-0.705731,0,;0.705731,-0.70848,0,;0,0,1,;1,0,0,;0,1,0,;0,0,1,;-1,-1,-1,;
120;13;1,0,0.5,;0,1,-0.5,;0,0,1,;1,0,0,;0,1,0,;0,0,1,;0.426162,0,0,;0,0.932066,0,;0,0,1,;-1,-1,-1,;
120;15;1,0,0,;0,1,0,;0,0,1,;1,0,0,;0,1,0,;0,0,1,;1,0,0,;0,1,0,;0,0,1,;-1,-1,-1,;
120;24;1,0,-1,;0,1,-0.5,;0,0,1,;1,0,0,;0,1,0,;0,0,1,;0.9,0,0,;0,1,0,;0,0,1,;-1,-1,-1,;
120;25;1,0,0,;0,1,-0.5,;0,0,1,;1,0,0,;0,1,0,;0,0,1,;0.9,0,0,;0,1,0,;0,0,1,;-1,-1,-1,;
120;5;1,0,-0.5,;0,1,-1,;0,0,1,;1,0,0,;0,1,0,;0,0,1,;1.21,0,0,;0,1.1,0,;0,0,1,;-1,-1,-1,;
